rmd_name,pt_name,rank,rank_by,forecast_mean_raw,normalization_denominator
RMD_Ganser Syndrome,PT_Transcranial Direct Current Stimulation,4,coupling,32.27736119849385,1.0
RMD_Ganser Syndrome,PT_Deep Brain Stimulation,5,coupling,9.678038959087266,1.0
RMD_Ganser Syndrome,PT_Social Skills Training,6,coupling,32.019623837354395,1.0
RMD_Ganser Syndrome,PT_Fecal Microbiota Transplant,7,coupling,14.9814366039266,1.0
RMD_Ganser Syndrome,PT_Hypnotherapy,8,coupling,11.816733332088559,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Narrative Exposure Therapy,1,coupling,41.83577893306703,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Music Therapy,2,coupling,9.486083339192765,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Emdr Therapy,3,coupling,31.603444893884973,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Stimulant And Wake Promoting Agents,4,coupling,25.02093435276346,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Neuroprotective Agents,5,coupling,41.7172712620327,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Cognitive Behavioral Therapy,6,coupling,230.54333726877212,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Transcranial Magnetic Stimulation,7,coupling,243.85038205762487,1.0
RMD_Hallucinogen Persisting Perception Disorder,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Histrionic Personality Disorder,PT_Hypnotherapy,1,coupling,11.816733332088559,1.0
RMD_Histrionic Personality Disorder,PT_Neuroprotective Agents,2,coupling,41.7172712620327,1.0
RMD_Histrionic Personality Disorder,PT_Electroconvulsive Therapy,3,coupling,20.87111237528387,1.0
RMD_Histrionic Personality Disorder,PT_Social Skills Training,4,coupling,32.019623837354395,1.0
RMD_Histrionic Personality Disorder,PT_Immunotherapy For Neuropsychiatric Disorders,5,coupling,9.781975905506505,1.0
RMD_Histrionic Personality Disorder,PT_Naltrexone,6,coupling,14.856798968418369,1.0
RMD_Histrionic Personality Disorder,PT_Stimulant And Wake Promoting Agents,7,coupling,25.02093435276346,1.0
RMD_Histrionic Personality Disorder,PT_Transference Focused Psychotherapy,8,coupling,9.78525111494212,1.0
