RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Electroencephalography_NoM,1.1,0.041266285660086485,0.0,0,0.0,0,0.13755428553362162,1,0.3333333333333333,96,0.14583333333333334,0.1366070061390122,0.0,0.9270833333333334,0.04208301423044237
RMD_Anorexia Nervosa_NoM,PT_Emdr Therapy_NoM,1.0597219880192132,0.08297406758034236,0.6440734428261468,0,0.0,0,0.07813674847510257,6,0.6666666666666666,96,0.08333333333333333,0.17284490689287937,0.0,0.9583333333333334,0.08426571702318592
RMD_Anorexia Nervosa_NoM,PT_Emotion Regulation Training_NoM,1.0264907969155161,0.2255160468788245,0.5308460714639932,2,0.2927959032397488,1,0.09038507394341827,1,1.0,96,0.14583333333333334,0.15587744520652352,0.06963860167230099,0.9270833333333334,0.21461065681595262
RMD_Anorexia Nervosa_NoM,PT_Expressive Writing And Journaling_NoM,1.0103106551960928,0.09558169591608275,0.0,0,0.15543117971536163,6,0.05697258898704445,4,1.0,96,0.041666666666666664,0.099827424576999,0.0,0.9791666666666666,0.0945553890376952
RMD_Anorexia Nervosa_NoM,PT_Fecal Microbiota Transplant_NoM,1.0302976119525198,0.10480641796543962,0.8098181723760329,0,0.0,0,0.16939513269012477,5,0.3333333333333333,96,0.16666666666666666,0.1659821127146422,0.0,0.9166666666666666,0.09898331863483259
RMD_Anorexia Nervosa_NoM,PT_Focused Ultrasound Therapy_NoM,1.0153440107242926,0.08780467504533511,0.2864249166002986,6,0.019158757976048862,6,0.15133706067811176,5,0.6666666666666666,70,0.22916666666666666,0.10579734331395112,0.0,0.8854166666666666,0.0789366232111903
RMD_Anorexia Nervosa_NoM,PT_Hypnotherapy_NoM,1.0363164102320361,0.4387898691531092,0.9120925043670328,0,0.554389452395189,0,0.2180119225301574,5,1.0,96,0.22916666666666666,0.16821576980775388,0.2705740993453553,0.8854166666666666,0.40262121952072366
RMD_Anorexia Nervosa_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,1.0140705655290225,0.10107805193075263,0.7829280480316421,0,0.0,0,0.09555746114164211,4,0.6666666666666666,91,0.08333333333333333,0.17269862232675082,0.0,0.9583333333333334,0.0982294323971573
RMD_Anorexia Nervosa_NoM,PT_Interpersonal Psychotherapy_NoM,1.042728935091719,0.12010291737703709,0.051981055031410074,3,0.1892018738152276,4,0.06614215257120812,1,1.0,96,0.08333333333333333,0.11931447942007584,0.0007884379569612493,0.9583333333333334,0.120016671007218
RMD_Anorexia Nervosa_NoM,PT_Ketamine Therapy_NoM,1.0412046235214123,0.23452817984977223,0.7391432742111577,3,0.23599394649979727,0,0.22516047216378254,5,0.6666666666666666,96,0.10416666666666667,0.19947686451366836,0.035051315336103867,0.9479166666666666,0.23147350097618352
