Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness
40,RMD_Antisocial Personality Disorder,PT_Speech Language Therapy,0.49561345244156435,0.49561345244156435,0.4986922312697711,36,0.6870196892979348,0.19140623685637032
41,RMD_Ekbom Syndrome,PT_Secure Data Storage For Patient Records,0.49210350168558925,0.49210350168558925,0.5121200597158927,36,0.5119498443037827,0.019846342618193333
42,RMD_Narcissistic Personality Disorder,PT_Psychoeducation Programs,0.4902674463423742,0.4902674463423742,0.4975896536877623,36,0.6620654771117923,0.17179803076941802
43,RMD_Factitious Disorder,PT_Speech Language Therapy,0.48958407974321033,0.48958407974321033,0.4932644833753017,36,0.6809903165995808,0.19140623685637032
44,RMD_Ganser Syndrome,PT_Psilocybin Assisted Therapy,0.4880718353893547,0.4880718353893547,0.5463725882159922,36,0.6922316029290343,0.2041597675396795
45,RMD_Kleptomania,PT_Transcranial Direct Current Stimulation,0.46488979043433054,0.46488979043433054,0.4895447382393604,36,0.7412501146256589,0.27636032419132833
46,RMD_Othello Syndrome,PT_Sleep Pattern Monitoring And Manipulation,0.4629881168189255,0.4629881168189255,0.4657680089962432,36,0.47867491590570527,0.015686799086779748
47,RMD_Postpartum Psychosis,PT_Neuromodulation Techniques,0.453981189926174,0.453981189926174,0.4929985879760653,36,0.7183669958120321,0.2643858058858581
48,RMD_Boanthropy,PT_Cultural Psychiatry Interventions,0.45306797219397804,0.45306797219397804,0.4585258336833311,36,0.5298128585272359,0.07674488633325781
49,RMD_Hallucinogen Persisting Perception Disorder,PT_Emotion Regulation Training,0.44958698227702354,0.44958698227702354,0.4579115879487687,36,0.6878894775854928,0.23830249530846917
50,RMD_Rumination Disorder,PT_Meditation And Relaxation Techniques,0.44851752575063336,0.44851752575063336,0.484124954721372,36,0.5900312013904454,0.14151367563981196
51,RMD_Postpartum Psychosis,PT_Digital Health Tools,0.4471611907097964,0.4471611907097964,0.4853249031169366,36,0.7183669958120321,0.2712058051022357
52,RMD_Childhood Disintegrative Disorder,PT_Psychophysiological Metrics For Treatment Response,0.4443178236266451,0.4443178236266451,0.4630473150145481,36,0.5684444767393493,0.12412665311270404
53,RMD_Reactive Attachment Disorder,PT_Transcranial Direct Current Stimulation,0.4426747805827784,0.4426747805827784,0.4477861307934834,36,0.7190351047741068,0.27636032419132833
54,RMD_Narcissistic Personality Disorder,PT_Traditional And Alternative Medicine Approaches,0.4423016962249229,0.4423016962249229,0.4500517047305541,36,0.6620654771117923,0.21976378088686926
55,RMD_Chronic Traumatic Encephalopathy,PT_Emotion Regulation Training,0.44041652929907726,0.44041652929907726,0.4501551310040179,36,0.6787190246075465,0.23830249530846917
56,RMD_Postpartum Psychosis,PT_Metaverse,0.4333596407029381,0.4333596407029381,0.480488900271309,36,0.7183669958120321,0.285007355109094
57,RMD_Diogenes Syndrome,PT_Meditation And Relaxation Techniques,0.4314107124949268,0.4314107124949268,0.4462059792341104,36,0.5729243881347388,0.14151367563981196
58,RMD_Othello Syndrome,PT_Blockchain For Data Protection,0.4281240735559736,0.4281240735559736,0.4313550112325494,36,0.47867491590570527,0.05055084234973161
59,RMD_Diogenes Syndrome,PT_Anticonvulsant Therapy,0.42707899968614893,0.42707899968614893,0.4387793855151087,36,0.5729243881347388,0.14584538844858985
60,RMD_Kleptomania,PT_Immunotherapy For Neuropsychiatric Disorders,0.42378519999369973,0.42378519999369973,0.4267825144571163,36,0.7412501146256589,0.3174649146319591
61,RMD_Narcissistic Personality Disorder,PT_Emotion Regulation Training,0.423762981803323,0.423762981803323,0.4297896875023668,36,0.6620654771117923,0.23830249530846917
62,RMD_Impulse Control Disorders,PT_Blockchain For Data Protection,0.4234152085485898,0.4234152085485898,0.4301295174360195,36,0.4739660508983215,0.05055084234973161
63,RMD_Diogenes Syndrome,PT_Focused Ultrasound Therapy,0.42068147806504963,0.42068147806504963,0.4247813345436882,36,0.5729243881347388,0.15224291006968915
64,RMD_Ganser Syndrome,PT_Deep Brain Stimulation,0.41833362658105544,0.41833362658105544,0.473147311904706,36,0.6922316029290343,0.27389797634797874
65,RMD_Ganser Syndrome,PT_Transcranial Direct Current Stimulation,0.4158712787377059,0.4158712787377059,0.4904331926438597,36,0.6922316029290343,0.27636032419132833
