node,category,horizon,window_index,t_index,forecast,ci_95,lower,upper,actual,recal_horizon,recal_category,recal_group,recal_scale
RMD_Palilalia,RMD,1,13,262,39.66281127929688,10.128410339355469,29.534400939941413,49.79122161865235,62.917259216308594,1,RMD,H1|RMD,12.0
RMD_Paramnesia,RMD,1,13,262,1.4114255905151367,0.2077517509460448,1.2036738395690918,1.6191773414611816,15.666114807128906,1,RMD,H1|RMD,12.0
RMD_Postpartum Psychosis,RMD,1,13,262,20.271167755126957,0.5257072448730468,19.74546051025391,20.796875000000004,36.59364700317383,1,RMD,H1|RMD,12.0
RMD_Psychogenic Amnesia,RMD,1,13,262,38.19487380981445,0.51123046875,37.68364334106445,38.70610427856445,77.53849029541016,1,RMD,H1|RMD,12.0
RMD_Pyromania,RMD,1,13,262,46.35946273803711,5.17657470703125,41.18288803100586,51.53603744506836,47.224082946777344,1,RMD,H1|RMD,12.0
RMD_Reactive Attachment,RMD,1,13,262,49.66680908203125,4.834648132324218,44.83216094970703,54.50145721435547,31.23587417602539,1,RMD,H1|RMD,12.0
RMD_Reduplicative Paramnesia,RMD,1,13,262,15.36962604522705,12.227285385131836,3.142340660095215,27.596911430358887,17.39759635925293,1,RMD,H1|RMD,12.0
RMD_Rumination,RMD,1,13,262,24.86957359313965,2.0131416320800772,22.85643196105957,26.882715225219727,69.43317413330078,1,RMD,H1|RMD,12.0
RMD_Savant,RMD,1,13,262,58.00205993652344,3.1090850830078125,54.892974853515625,61.11114501953125,130.56234741210938,1,RMD,H1|RMD,12.0
RMD_Schizoaffective,RMD,1,13,262,76.13456726074219,7.75140380859375,68.38316345214844,83.88597106933594,171.58326721191406,1,RMD,H1|RMD,12.0
RMD_Schizotypal Personality,RMD,1,13,262,14.348698616027832,0.4126739501953116,13.93602466583252,14.761372566223145,44.49488830566406,1,RMD,H1|RMD,12.0
RMD_Selective Mutism,RMD,1,13,262,60.65288543701172,0.6581039428710935,59.994781494140625,61.31098937988281,97.13866424560548,1,RMD,H1|RMD,12.0
