Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness,spillover_value_norm,cisn_adjusted_score
70,RMD_Kleine Levin Syndrome,PT_Neurobiological Assessments For Mental Disorders,0.4103397036135808,0.4103397036135808,0.4496205128102316,36,0.4845192931251607,0.0741795895115798,0.0,0.4103397036135808
71,RMD_Histrionic Personality Disorder,PT_Lithium Therapy,0.4089983402725363,0.4089983402725363,0.4397189932985711,36,0.4385416961188458,0.0295433558463095,0.0,0.4089983402725363
72,RMD_Kleine Levin Syndrome,PT_Dietary Interventions And Supplements,0.4038929456750491,0.4038929456750491,0.4088982616503847,36,0.4845192931251607,0.0806263474501115,0.0,0.4038929456750491
73,RMD_Kleptomania,PT_Acceptance And Commitment Therapy,0.4012756251893177,0.4012756251893177,0.4255762789157421,36,0.7412501146256589,0.3399744894363412,0.0,0.4012756251893177
74,RMD_Hallucinogen Persisting Perception Disorder,PT_Narrative Exposure Therapy,0.4000072259848026,0.4000072259848026,0.423620295687574,36,0.6878894775854928,0.2878822516006901,0.0,0.4000072259848026
75,RMD_Impulse Control Disorders,PT_Neurobiological Assessments For Mental Disorders,0.3997864613867416,0.3997864613867416,0.4129831078135558,36,0.4739660508983215,0.0741795895115798,0.0,0.3997864613867416
76,RMD_Kleptomania,PT_Light Therapy,0.3996590151118306,0.3996590151118306,0.4221138172923886,36,0.7412501146256589,0.3415910995138282,0.0,0.3996590151118306
77,RMD_Antisocial Personality Disorder,PT_Narrative Exposure Therapy,0.3991374376972446,0.3991374376972446,0.401616902583055,36,0.6870196892979348,0.2878822516006901,0.0,0.3991374376972446
78,RMD_Landau Kleffner Syndrome,PT_Privacy Preserving Ai In Digital Mental Health,0.3987712928380344,0.3987712928380344,0.4120394699164389,36,0.5590709259771585,0.160299633139124,0.0,0.3987712928380344
79,RMD_Narcissistic Personality Disorder,PT_Neuromodulation Techniques,0.3976796712259341,0.3976796712259341,0.4035707189732519,36,0.6620654771117923,0.2643858058858581,0.0,0.3976796712259341
80,RMD_Brief Psychotic Disorder,PT_Sleep Pattern Monitoring And Manipulation,0.3970496061308211,0.3970496061308211,0.408110699747784,36,0.4127364052176009,0.0156867990867797,0.0,0.3970496061308211
81,RMD_Reactive Attachment Disorder,PT_Oxytocin Therapy,0.3956148654649596,0.3956148654649596,0.3993098668868305,36,0.7190351047741068,0.3234202393091471,0.0,0.3956148654649596
