node,hop,propagated_mean_variance,amplification_ratio
PT_Peer Support Programs & Online Communities,3,7.123370148561147e-10,0.008499758330161054
PT_Personalized Medicine,3,0.027756280445673808,0.008499859752311488
PT_Privacy-Preserving AI in Digital Mental Health,3,3.9889154065609714e-05,0.00849985975050288
PT_Psychoeducation Programs,3,2.4073450968764706e-06,0.008499859722302765
PT_Psychophysiological Metrics for Treatment Response,3,6.68019305915179e-06,0.008499859741498892
PT_Regenerative Medicine Approaches,3,2.5954690073851216e-06,0.008499859724478037
PT_Resting-state Functional Magnetic Resonance Imaging,3,0.001979290505335241,0.008499859752277588
PT_Selective Serotonin Reuptake Inhibitors,3,0.004414515582076074,0.008499859752297726
PT_Social Skills Training,3,3.5347326939563425e-08,0.00849985770838023
PT_Stem Cell Therapy for Neurological Disorders,3,1.434253606434561e-05,0.008499859747276793
PT_Traditional & Alternative Medicine Approaches,3,0.001431923075570756,0.008499859752263635
PT_Transcranial Magnetic Stimulation,3,0.0008667846726265144,0.00849985975223074
PT_Trauma-Focused CBT,3,0.5799324500784542,415.38499468626935
PT_Virtual Reality Exposure Therapy,3,0.010618895450038827,16.96588733220161
PT_Voxel-based Lesion-Symptom Mapping,3,0.0009707425592701205,6.958614012776251
RMD_Anorexia nervosa,3,0.0010772853437956,0.00849985975224702
RMD_Antisocial Personality Disorder,3,0.00035778261279541853,0.00849985975211216
RMD_Autosarcophagy,3,1.6444592124722295e-05,0.008499859747920694
RMD_Avoidant Personality,3,0.0011012027657374805,0.008499859752248482
RMD_Boanthropy,3,0.0017770205633608016,0.008499859752273435
RMD_Body Integrity Dysphoria,3,2.3098304307410418e-05,0.008499859749186251
RMD_Brief Psychotic,3,0.000691401390937394,0.00849985975220959
RMD_Capgras,3,9.548996037728179e-05,0.008499859751557492
RMD_Childhood Disintegrative Disorder,3,6.369768198088147e-05,0.008499859751179856
RMD_Circadian Rhythm Sleep-Wake,3,1.5518646816064347e-06,0.008499859705758733
RMD_Cyclothymic,3,0.0002379021003379674,0.008499859752010406
RMD_Delusional,3,0.0036076624579558896,0.008499859752294066
RMD_Dementia pugilistica,3,0.0020248703340986405,0.00849985975227841
RMD_Diogenes,3,0.00012688403067049217,0.008499859751744684
