src,dst,weight,uncertainty_corr,amplification_ratio,amplification_ratio_floored,log10_amplification_ratio_floored,src_variance_floored,amplification_floor_applied,src_mean_variance,dst_mean_variance
PT_Animal-Assisted Interventions,RMD_Rumination,0.3,0.6522102277165484,2.0151052474975586,2.0151052474975586,0.3042977339578947,0.03530438244342804,0,0.03530438244342804,0.0711420476436615
PT_Animal-Assisted Interventions,RMD_Selective Mutism,0.3,0.6502483201133562,0.6623088717460632,0.6623088717460632,-0.1789394274617114,0.03530438244342804,0,0.03530438244342804,0.023382404819130898
PT_Animal-Assisted Interventions,RMD_Stendhal,0.3,0.7172502772518098,1.0613709688186646,1.0613709688186646,0.02586720440295125,0.03530438244342804,0,0.03530438244342804,0.03747104853391647
PT_Animal-Assisted Interventions,RMD_Walking Corpse,0.3,0.7919689031777634,0.1637054979801178,0.1637054979801178,-0.7859367347460875,0.03530438244342804,0,0.03530438244342804,0.00577952153980732
PT_Animal-Assisted Interventions,RMD_koro,0.3,0.27553534824463577,0.6092246174812317,0.6092246174812317,-0.21522255605784463,0.03530438244342804,0,0.03530438244342804,0.021508298814296722
PT_Antidepressants,Global_Disaster_Total,0.5,0.05765858393775085,0.004382402170449495,0.004382402170449495,-2.358287769999295,0.17419207096099854,0,0.17419207096099854,0.0007633797358721495
PT_Antidepressants,Global_Holidays_Average,0.5,0.10581256896934821,1.1962702046730556e-05,1.1962702046730556e-05,-4.922170714039414,0.17419207096099854,0,0.17419207096099854,2.0838078853557818e-06
PT_Antidepressants,Global_Holidays_Total,0.5,0.03306616106350758,0.013468798249959946,0.013468798249959946,-1.8706711523612107,0.17419207096099854,0,0.17419207096099854,0.002346157794818282
PT_Antidepressants,RMD_Pyromania,0.3,0.3780913788708123,0.0947752296924591,0.0947752296924591,-1.0233051543660845,0.17419207096099854,0,0.17419207096099854,0.01650909334421158
PT_Antidepressants,RMD_Reactive Attachment,0.3,-0.32150208419206755,0.10548605769872665,0.10548605769872665,-0.9768049381354388,0.17419207096099854,0,0.17419207096099854,0.018374834209680557
PT_Antidepressants,RMD_Reduplicative Paramnesia,0.3,0.11323038204071917,0.3666292130947113,0.3666292130947113,-0.4357729333171623,0.17419207096099854,0,0.17419207096099854,0.06386390328407288
PT_Antidepressants,RMD_Rumination,0.3,0.5653853403544792,0.40841150283813477,0.40841150283813477,-0.38890203458518335,0.17419207096099854,0,0.17419207096099854,0.0711420476436615
PT_Antidepressants,RMD_Selective Mutism,0.3,0.3923542210521025,0.13423345983028412,0.13423345983028412,-0.8721392158480008,0.17419207096099854,0,0.17419207096099854,0.023382404819130898
PT_Antidepressants,RMD_Stendhal,0.3,0.5745683688611569,0.21511340141296387,0.21511340141296387,-0.667332532530249,0.17419207096099854,0,0.17419207096099854,0.03747104853391647
PT_Antidepressants,RMD_Walking Corpse,0.3,0.6946942459048373,0.033179014921188354,0.033179014921188354,-1.4791365122430307,0.17419207096099854,0,0.17419207096099854,0.00577952153980732
PT_Antidepressants,RMD_koro,0.3,0.19567670711801752,0.1234746128320694,0.1234746128320694,-0.908422326941344,0.17419207096099854,0,0.17419207096099854,0.021508298814296722
PT_Antipsychotic Medications,Global_Disaster_Total,0.5,0.06430868280198498,0.029094070196151733,0.029094070196151733,-1.5361955176640074,0.026238327845931053,0,0.026238327845931053,0.0007633797358721495
PT_Antipsychotic Medications,Global_Holidays_Average,0.5,0.2157496027154425,7.941847434267402e-05,7.941847434267402e-05,-4.100078460144488,0.026238327845931053,0,0.026238327845931053,2.0838078853557818e-06
PT_Antipsychotic Medications,Global_Holidays_Total,0.5,0.12939242705550572,0.08941719681024551,0.08941719681024551,-1.0485789491953919,0.026238327845931053,0,0.026238327845931053,0.002346157794818282
PT_Antipsychotic Medications,RMD_Pyromania,0.3,0.11795864135993983,0.6291975975036621,0.6291975975036621,-0.20121294433370682,0.026238327845931053,0,0.026238327845931053,0.01650909334421158
PT_Antipsychotic Medications,RMD_Reactive Attachment,0.3,-0.17978546011342952,0.7003051042556763,0.7003051042556763,-0.15471270823433622,0.026238327845931053,0,0.026238327845931053,0.018374834209680557
PT_Antipsychotic Medications,RMD_Reduplicative Paramnesia,0.3,0.26623078214700496,2.433992862701416,2.433992862701416,0.38631930039612694,0.026238327845931053,0,0.026238327845931053,0.06386390328407288
PT_Antipsychotic Medications,RMD_Rumination,0.3,0.616741968272555,2.711378812789917,2.711378812789917,0.43319019807157,0.026238327845931053,0,0.026238327845931053,0.0711420476436615
PT_Antipsychotic Medications,RMD_Selective Mutism,0.3,0.4055037521472065,0.8911545276641846,0.8911545276641846,-0.05004698205405257,0.026238327845931053,0,0.026238327845931053,0.023382404819130898
PT_Antipsychotic Medications,RMD_Stendhal,0.3,0.49609682373191344,1.4281035661697388,1.4281035661697388,0.1547597036481936,0.026238327845931053,0,0.026238327845931053,0.03747104853391647
